Questions,Category,text,label
Differentiate between Microscopy and Macroscopy.,BT4,differentiate between microscopy and macroscopy.,3
Recall the following pictoral example of an implementation of some queue operations,BT1,recall the following pictoral example of an implementation of some queue operations,0
Derive the relation between unit step function and unit ramp function.,BT4,derive the relation between unit step function and unit ramp function.,3
Propose TWO (2) factors that are relevant to the initiation of conflict in group. ,BT6,propose two (2) factors that are relevant to the initiation of conflict in group.,5
State four features of LAP winding of DC machine.,BT2,state four features of lap winding of dc machine.,1
What is Hilbert curve?,BT1,what is hilbert curve?,0
Examine the data to identify outliers and anomalies.,BT3,examine the data to identify outliers and anomalies.,2
How do you compose a compelling piece of music?,BT6,how do you compose a compelling piece of music?,5
Compare and contrast the characteristics between hardwood and softwood. ,BT4,compare and contrast the characteristics between hardwood and softwood.,3
Obtain the approximate equivalent circuit diagrams fo 3-ph induction motor step by step. Label it & state the meaning of each nomenclatureused.,BT1,obtain the approximate equivalent circuit diagrams fo 3-ph induction motor step by step. label it & state the meaning of each nomenclatureused.,0
How can you relate knowledge from history and political science to understand governance?,BT6,how can you relate knowledge from history and political science to understand governance?,5
Calculate the atomic packaging factor for FCC and HCP crystal structure.,BT3,calculate the atomic packaging factor for fcc and hcp crystal structure.,2
Classify soil organisms according to their ecology and state TWO examples for each group. ,BT2,classify soil organisms according to their ecology and state two examples for each group.,1
Can you create an illustrated diagram of the carbon cycle?,BT4,can you create an illustrated diagram of the carbon cycle?,3
Modify the algorithm to improve the efficiency of the sorting process.,BT3,modify the algorithm to improve the efficiency of the sorting process.,2
Estimate roughly how long the collision process takes,BT5,estimate roughly how long the collision process takes,4
Explain following instruction used in C languages.,BT2,explain following instruction used in c languages.,1
How do you argue for the importance of education?,BT5,how do you argue for the importance of education?,4
"Evaluate the reliability of different failure analysis techniques (e.g., root cause analysis, fault tree analysis, failure mode and effects analysis) in identifying failure mechanisms in engineering components.",BT4,"evaluate the reliability of different failure analysis techniques (e.g., root cause analysis, fault tree analysis, failure mode and effects analysis) in identifying failure mechanisms in engineering components.",3
Compare different learning styles for educational effectiveness.,BT5,compare different learning styles for educational effectiveness.,4
Infer the reasons behind the company's sudden expansion.,BT2,infer the reasons behind the company's sudden expansion.,1
Explain the procedure of establishing horizontal control for setting of a tunnel.,BT2,explain the procedure of establishing horizontal control for setting of a tunnel.,1
Discuss the advantages of dynamic logic circuit compared to the conventional static combinational logic circuit. ,BT2,discuss the advantages of dynamic logic circuit compared to the conventional static combinational logic circuit.,1
